,ARI ,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,MIA,MIN,NE,TEN,NO,NYJ,NYG,OAK,PHI,PIT,STL,SD,SF,SEA,TB,WAS,LAC,LV,LA
ARI ,0,1868,2366,2274,2017,1819,1876,2085,1077,904,2074,2017,1188,1764,2072,1360,2390,1805,2700,1687,1548,2481,2481,745,2420,2136,1517,358,750,1513,2184,2362,372,300,372
ATL,1868,0,679,910,238,717,476,726,792,1403,735,927,800,531,344,801,661,1129,1074,248,1142,869,869,2486,782,676,549,2166,2618,2705,455,636,2181,1972,2181
BAL,2366,679,0,370,441,708,521,377,1399,1690,532,918,1470,600,763,1087,1109,1121,392,707,1142,192,192,2820,104,246,849,2724,2840,2775,960,38,2648,2411,2648
BUF,2274,910,370,0,695,545,442,197,1393,1546,277,753,1513,508,1080,995,1425,958,455,706,1254,400,400,2661,414,217,749,2632,2677,2612,1276,384,2533,2264,2533
CAR,2107,238,441,695,0,761,476,520,1031,1559,675,994,1041,575,385,956,730,1173,835,426,713,631,631,2725,543,438,704,2405,2759,2827,581,397,2412,2217,2412
CHI,1819,717,708,545,761,0,302,346,936,1015,283,208,1108,184,1065,532,1382,409,985,472,935,797,797,2132,768,467,294,2105,2146,2062,1176,701,2015,1747,2015
CIN,1876,476,521,442,476,302,0,253,958,1200,261,506,1079,116,803,597,1141,714,841,274,820,636,636,2385,576,292,350,2234,2407,2368,935,517,2175,1938,2175
CLE,2085,726,377,197,520,34,253,0,1208,1347,171,553,1328,319,904,806,1250,760,639,521,1070,466,466,2462,437,136,560,2437,2478,2413,1101,370,2345,2076,2345
DAL,1077,792,1399,1393,1031,936,958,1208,0,887,1218,1149,241,913,1049,554,1367,999,1755,667,525,1589,1589,1725,1501,1246,635,1735,1827,2208,1161,1362,1436,1224,1436
DEN,904,1403,1690,1546,1559,1015,1200,1347,887,0,1284,1105,1127,1088,1751,603,2069,924,1987,1162,1409,1799,1799,1266,1744,1460,855,1092,1271,1239,1862,1686,1016,749,1016
DET,2074,735,532,277,675,283,261,171,1218,1284,0,490,1338,318,1060,795,1401,697,707,535,1079,622,622,2398,592,292,549,2373,2415,2350,1194,526,2281,2013,2281
GB,2017,927,918,753,994,208,506,355,1149,1105,490,0,1390,393,1273,626,1594,280,280,1192,680,1135,1135,998,2229,968,497,2181,2236,1939,1384,906,2108,1838,2108
HOU,1188,800,1470,1513,1041,1108,1079,1328,241,1127,1338,1390,0,1033,884,795,1201,1240,1835,859,360,1660,1660,1921,1572,1366,863,1487,1938,2449,995,1433,1612,1456,1612
IND,1764,531,600,508,575,184,116,319,913,1088,318,393,1033,0,879,485,1196,596,950,288,826,715,715,2275,655,370,239,2122,2290,2249,990,596,2068,1831,2068
JAX,2072,344,763,1080,385,1065,803,904,1049,1751,1060,1273,884,879,0,1148,345,1477,1142,594,556,953,953,2792,866,822,296,2370,2822,3052,196,720,2416,2214,2416
KC,1360,801,1087,995,956,532,597,806,554,603,795,626,795,485,1148,0,1466,441,1434,558,932,1202,1202,1803,1141,857,252,1695,1814,1872,1259,1083,1577,1350,1577
MIA,2390,661,1109,1425,730,1382,1141,1250,1367,2069,1401,1594,1201,1196,345,1466,0,1794,1492,915,874,1299,1299,3113,1211,1167,1214,2688,3140,3370,274,1065,2733,2531,2733
MIN,1805,1129,1121,958,1173,409,714,760,999,924,697,280,1240,596,1477,441,1794,0,1392,870,1337,1211,1211,2042,1811,881,621,2014,2055,1654,1588,1115,1905,1620,1905
NE,2700,1074,392,455,835,985,841,639,1755,1987,707,280,1835,950,1142,1434,1492,1392,0,1090,1510,204,204,3111,295,572,1193,3062,3117,3051,1367,432,2982,2714,2982
TEN,1687,248,707,706,426,472,274,521,667,1162,535,1192,859,288,594,558,915,870,1090,0,534,890,890,2300,809,560,309,2028,2311,2405,705,673,2004,1793,2004
NO,1548,1142,1142,1254,713,935,820,1070,525,1409,1079,680,360,826,556,932,874,1337,1510,534,0,1332,1332,2268,1245,1108,690,1846,2298,2731,668,1106,1893,1714,1893
NYJ,2481,869,192,400,631,797,636,466,1589,1799,622,1135,1660,715,953,1202,1299,1211,204,890,1332,0,0,2908,91,367,956,2839,2929,2864,1150,228,2812,2522,2812
NYG,2481,869,192,400,631,797,636,466,1589,1799,622,1135,1660,715,953,1202,1299,1211,204,890,1332,0,0,2908,91,367,956,2839,2929,2864,1150,228,2812,2522,2812
OAK,745,2486,2820,2661,2725,2132,2385,2462,1725,1266,2398,998,1921,2275,2792,1803,3113,2042,3111,2300,2268,2908,2908,0,2877,2578,2056,492,12,804,2902,2815,370,559,370
PHI,2420,782,104,414,543,768,576,437,1501,1744,592,2229,1572,655,866,1141,1211,1811,295,809,1245,91,91,2877,0,306,895,2779,2900,2835,1062,140,2713,2477,2713
PIT,2136,676,246,217,438,467,292,136,1246,1460,292,968,1366,370,822,857,1167,881,572,560,1108,367,367,2578,306,0,611,2494,2599,2534,1019,240,2429,2193,2429
STL,1517,549,849,749,704,294,350,560,635,855,549,497,863,239,296,252,1214,621,1193,309,690,956,956,2056,895,611,0,1875,2066,2125,1008,837,1827,1597,1827
SD,358,2166,2724,2632,2405,2105,2234,2437,1735,1092,2373,2181,1487,2122,2370,1695,2688,2014,3062,2028,1846,2839,2839,492,2779,2494,1875,0,508,1217,2481,2720,120,332,120
SF,750,2618,2840,2677,2759,2146,2407,2478,1827,1271,2415,2236,1938,2290,2822,1814,3140,2055,3117,2311,2298,2929,2929,12,2900,2599,2066,508,0,816,2933,2834,382,570,382
SEA,1513,2705,2775,2612,2827,2062,2368,2413,2208,1239,2350,1939,2449,2249,3052,1872,3370,1654,3051,2405,2731,2864,2864,804,2835,2534,2125,1217,816,0,3164,2769,1135,1114,1135
TB,2184,455,960,1276,581,1176,935,1101,1161,1862,1194,1384,995,990,196,1259,274,1588,1367,705,668,1150,1150,2902,1062,1019,1008,2481,2933,3164,0,916,2526,2324,2526
WAS,2362,636,38,384,397,701,517,370,1362,1686,526,906,1433,596,720,1083,1065,1115,432,673,1106,228,228,2815,140,240,837,2720,2834,2769,916,0,2663,2457,2663
LAC,372,2181,2648,2533,2412,2015,2175,2345,1436,1016,2281,2108,1612,2068,2416,1577,2733,1905,2982,2004,1893,2812,2812,370,2713,2429,1827,120,382,1135,2526,2663,0,270,0
LV,300,1972,2411,2264,2217,1747,1938,2076,1224,749,2013,1838,1456,1831,2214,1350,2531,1620,2714,1793,1714,2522,2522,559,2477,2193,1597,332,570,1114,2324,2457,270,0,270
LA,372,2181,2648,2533,2412,2015,2175,2345,1436,1016,2281,2108,1612,2068,2416,1577,2733,1905,2982,2004,1893,2812,2812,370,2713,2429,1827,120,382,1135,2526,2663,0,270,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,